Real Data,Filtered
-51,-51
-53,-52.98019822
-51,-51.99452519
-49,-50.99799537
-49,-50.4979903
-51,-50.59879453
-51,-50.66616324
-49,-50.42539209
-49,-50.24433366
-51,-50.33009705
-49,-50.19345405
-51,-50.26925536
-49,-50.1591557
-50,-50.14631731
-51,-50.21077024
-50,-50.19579217
-53,-50.38428949
-49,-50.29588493
-51,-50.33877388
-50,-50.3190226
-49,-50.24518058
-51,-50.28587322
-52,-50.37509733
-49,-50.30582064
-49,-50.24200697
-51,-50.27801155
-50,-50.26515172
-51,-50.29831105
-50,-50.28515839
-49,-50.22971024
-50,-50.21999842
-49,-50.1693889
-52,-50.24398994
-52,-50.31436841
-50,-50.30196414
-50,-50.29022239
-51,-50.31744577
-49,-50.26756115
-50,-50.2575515
-52,-50.32200448
-51,-50.34681876
-53,-50.44296206
-50,-50.42705964
-51,-50.44744888
-49,-50.39636023
-50,-50.38247795
-53,-50.47349385
-51,-50.49167745
-52,-50.54343834
-51,-50.55901262
-49,-50.50612923
-51,-50.52279379
-51,-50.53881657
-50,-50.52080896
-50,-50.50347889
-51,-50.51993332
-52,-50.56879389
-49,-50.51719058
-51,-50.53301828
-51,-50.54827856
-50,-50.53041496
-50,-50.51318168
-50,-50.49655205
-50,-50.48050095
-51,-50.49725499
-50,-50.48125314
-51,-50.49791258
-50,-50.48195282
-51,-50.49852814
-49,-50.45066241
-50,-50.43629021
-50,-50.42239703
-49,-50.37716556
-50,-50.3651876
-52,-50.41704187
-49,-50.37214688
-51,-50.3920171
-49,-50.34800752
-49,-50.30543003
-53,-50.3904631
-51,-50.40968219
-53,-50.49129207
-52,-50.5387898
-50,-50.52183921
-52,-50.56831247
-51,-50.58187636
-51,-50.59500651
-51,-50.60771746
-49,-50.55728393
-50,-50.53981046
-50,-50.52289243
-51,-50.53783903
-52,-50.58362688
-50,-50.56535725
-52,-50.61025116
-49,-50.55987841
-50,-50.54236935
-49,-50.49414873
-50,-50.47870383
-50,-50.46374546
,
-50.46,-50.47077798
