Real Data,Filtered
-34,-34
-34,-34
-34,-34
-34,-34
-34,-34
-34,-34
-34,-34
-34,-34
-34,-34
-34,-34
-33,-33.8972684
-34,-33.90692339
-34,-33.91499718
-34,-33.92185398
-34,-33.927754
-34,-33.93288805
-34,-33.93739928
-34,-33.94139714
-34,-33.94496675
-34,-33.94817531
-33,-33.8950942
-34,-33.90074972
-34,-33.90591592
-34,-33.91065582
-34,-33.91502195
-34,-33.9190584
-33,-33.87654602
-34,-33.88211676
-34,-33.88731429
-34,-33.89217611
-34,-33.89673475
-34,-33.90101853
-35,-33.94580421
-34,-33.9479763
-34,-33.95002904
-34,-33.95197214
-34,-33.95381424
-34,-33.95556305
-34,-33.95722547
-34,-33.95880769
-34,-33.96031531
-34,-33.96175336
-34,-33.96312642
-34,-33.96443864
-34,-33.9656938
-34,-33.96689536
-34,-33.96804647
-34,-33.96915002
-34,-33.9702087
-35,-34.00533707
-34,-34.00515603
-34,-34.00498205
-34,-34.00481477
-34,-34.00465386
-34,-34.004499
-34,-34.0043499
-35,-34.03721872
-34,-34.03599446
-34,-34.03481447
-35,-34.06635532
-34,-34.06419338
-34,-34.06210773
-33,-34.02769019
-34,-34.0267951
-34,-34.02593095
-34,-34.02509648
-34,-34.02429051
-34,-34.02351192
-34,-34.02275964
-34,-34.02203265
-34,-34.02133
-35,-34.05249466
-34,-34.05082536
-34,-34.04921126
-34,-34.04765034
-34,-34.04614067
-34,-34.04468042
-34,-34.04326781
-34,-34.04190118
-34,-34.04057889
-33,-34.00776877
-34,-34.00752401
-34,-34.00728714
-33,-33.97559741
-34,-33.97636462
-36,-34.03994853
-36,-34.10149914
-36,-34.16108467
-35,-34.18740115
-34,-34.18152524
-33,-34.14449543
-34,-34.13996874
-35,-34.16690079
-32,-34.09906897
-34,-34.09596883
-34,-34.09296668
-34,-34.09005934
-34,-34.08724372
-36,-34.14702799
-34,-34.14243371
,
,
-34.06,-34.00189646
