Real Data,Filtered
-48,-48
-48,-48
-48,-48
-47,-47.66721608
-49,-48.00074975
-48,-48.0005992
-47,-47.83258285
-48,-47.85677569
-48,-47.87496856
-47,-47.77566512
-47,-47.6959798
-48,-47.72455242
-48,-47.74844571
-48,-47.76873749
-48,-47.78619778
-48,-47.80139132
-47,-47.74752223
-48,-47.76364616
-47,-47.71713106
-47,-47.6753207
-46,-47.58153226
-47,-47.55018161
-48,-47.57359565
-47,-47.5446982
-48,-47.56694818
-47,-47.54001821
-47,-47.51503889
-49,-47.58204634
-48,-47.60047409
-48,-47.61771163
-48,-47.63387425
-47,-47.60757908
-48,-47.62357101
-47,-47.59857914
-47,-47.57496055
-47,-47.55260346
-47,-47.53140846
-48,-47.54915151
-47,-47.52860737
-47,-47.50905424
-48,-47.5270226
-48,-47.54416188
-47,-47.52462637
-47,-47.50595649
-47,-47.48809843
-47,-47.47100307
-47,-47.45462545
-47,-47.43892435
-47,-47.42386185
-48,-47.44351514
-48,-47.46239171
-47,-47.44678934
-47,-47.43178785
-48,-47.45077787
-47,-47.4357781
-49,-47.48761553
-47,-47.47151817
-47,-47.45600823
-48,-47.47384164
-47,-47.45835719
-48,-47.47600459
-48,-47.4930293
-47,-47.47705271
-46,-47.4293068
-48,-47.44771187
-47,-47.43330434
-49,-47.48361844
-48,-47.50017019
-47,-47.48416686
-47,-47.46870168
-48,-47.48564546
-48,-47.50202451
-47,-47.4860604
-47,-47.47062417
-46,-47.42397775
-47,-47.41054521
-47,-47.39755233
-47,-47.38498344
-47,-47.37282354
-48,-47.39261547
-47,-47.38023605
-46,-47.33675069
-47,-47.32614898
-48,-47.34734865
-48,-47.36786795
-48,-47.38772995
-47,-47.37555424
-47,-47.36376725
-47,-47.352356
-47,-47.34130798
-48,-47.36195184
-48,-47.38194032
-48,-47.40129498
-48,-47.42003661
-47,-47.40689251
-47,-47.39416388
-47,-47.3818372
-48,-47.40116344
-49,-47.45113597
-48,-47.46828668
,
-47.47,-47.53883468
